+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                                             ;
+-----------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                                                         ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
; DE0_LT24_SOPC_inst|rst_controller_001|alt_rst_sync_uq1                                                                            ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_LT24_SOPC_inst|rst_controller_001                                                                                             ; 33    ; 30             ; 0            ; 30             ; 2      ; 30              ; 30            ; 30              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_LT24_SOPC_inst|rst_controller|alt_rst_req_sync_uq1                                                                            ; 2     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_LT24_SOPC_inst|rst_controller|alt_rst_sync_uq1                                                                                ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_LT24_SOPC_inst|rst_controller                                                                                                 ; 33    ; 30             ; 0            ; 30             ; 2      ; 30              ; 30            ; 30              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_LT24_SOPC_inst|irq_synchronizer_005                                                                                           ; 5     ; 0              ; 2            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_LT24_SOPC_inst|irq_synchronizer_004                                                                                           ; 5     ; 0              ; 2            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_LT24_SOPC_inst|irq_synchronizer_003                                                                                           ; 5     ; 0              ; 2            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_LT24_SOPC_inst|irq_synchronizer_002                                                                                           ; 5     ; 0              ; 2            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_LT24_SOPC_inst|irq_synchronizer_001                                                                                           ; 5     ; 0              ; 2            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_LT24_SOPC_inst|irq_synchronizer                                                                                               ; 5     ; 0              ; 2            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_LT24_SOPC_inst|irq_mapper                                                                                                     ; 11    ; 23             ; 2            ; 23             ; 32     ; 23              ; 23            ; 23              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_LT24_SOPC_inst|mm_interconnect_0|avalon_st_adapter_023|error_adapter_0                                                        ; 38    ; 1              ; 2            ; 1              ; 37     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_LT24_SOPC_inst|mm_interconnect_0|avalon_st_adapter_023                                                                        ; 38    ; 0              ; 0            ; 0              ; 37     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_LT24_SOPC_inst|mm_interconnect_0|avalon_st_adapter_022|error_adapter_0                                                        ; 38    ; 1              ; 2            ; 1              ; 37     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_LT24_SOPC_inst|mm_interconnect_0|avalon_st_adapter_022                                                                        ; 38    ; 0              ; 0            ; 0              ; 37     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_LT24_SOPC_inst|mm_interconnect_0|avalon_st_adapter_021|error_adapter_0                                                        ; 14    ; 1              ; 2            ; 1              ; 13     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_LT24_SOPC_inst|mm_interconnect_0|avalon_st_adapter_021                                                                        ; 14    ; 0              ; 0            ; 0              ; 13     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_LT24_SOPC_inst|mm_interconnect_0|avalon_st_adapter_020|error_adapter_0                                                        ; 38    ; 1              ; 2            ; 1              ; 37     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_LT24_SOPC_inst|mm_interconnect_0|avalon_st_adapter_020                                                                        ; 38    ; 0              ; 0            ; 0              ; 37     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_LT24_SOPC_inst|mm_interconnect_0|avalon_st_adapter_019|error_adapter_0                                                        ; 22    ; 1              ; 2            ; 1              ; 21     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_LT24_SOPC_inst|mm_interconnect_0|avalon_st_adapter_019                                                                        ; 22    ; 0              ; 0            ; 0              ; 21     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_LT24_SOPC_inst|mm_interconnect_0|avalon_st_adapter_018|error_adapter_0                                                        ; 38    ; 1              ; 2            ; 1              ; 37     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_LT24_SOPC_inst|mm_interconnect_0|avalon_st_adapter_018                                                                        ; 38    ; 0              ; 0            ; 0              ; 37     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_LT24_SOPC_inst|mm_interconnect_0|avalon_st_adapter_017|error_adapter_0                                                        ; 38    ; 1              ; 2            ; 1              ; 37     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_LT24_SOPC_inst|mm_interconnect_0|avalon_st_adapter_017                                                                        ; 38    ; 0              ; 0            ; 0              ; 37     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_LT24_SOPC_inst|mm_interconnect_0|avalon_st_adapter_016|error_adapter_0                                                        ; 22    ; 1              ; 2            ; 1              ; 21     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_LT24_SOPC_inst|mm_interconnect_0|avalon_st_adapter_016                                                                        ; 22    ; 0              ; 0            ; 0              ; 21     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_LT24_SOPC_inst|mm_interconnect_0|avalon_st_adapter_015|error_adapter_0                                                        ; 38    ; 1              ; 2            ; 1              ; 37     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_LT24_SOPC_inst|mm_interconnect_0|avalon_st_adapter_015                                                                        ; 38    ; 0              ; 0            ; 0              ; 37     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_LT24_SOPC_inst|mm_interconnect_0|avalon_st_adapter_014|error_adapter_0                                                        ; 22    ; 1              ; 2            ; 1              ; 21     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_LT24_SOPC_inst|mm_interconnect_0|avalon_st_adapter_014                                                                        ; 22    ; 0              ; 0            ; 0              ; 21     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_LT24_SOPC_inst|mm_interconnect_0|avalon_st_adapter_013|error_adapter_0                                                        ; 38    ; 1              ; 2            ; 1              ; 37     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_LT24_SOPC_inst|mm_interconnect_0|avalon_st_adapter_013                                                                        ; 38    ; 0              ; 0            ; 0              ; 37     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_LT24_SOPC_inst|mm_interconnect_0|avalon_st_adapter_012|error_adapter_0                                                        ; 38    ; 1              ; 2            ; 1              ; 37     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_LT24_SOPC_inst|mm_interconnect_0|avalon_st_adapter_012                                                                        ; 38    ; 0              ; 0            ; 0              ; 37     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_LT24_SOPC_inst|mm_interconnect_0|avalon_st_adapter_011|error_adapter_0                                                        ; 38    ; 1              ; 2            ; 1              ; 37     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_LT24_SOPC_inst|mm_interconnect_0|avalon_st_adapter_011                                                                        ; 38    ; 0              ; 0            ; 0              ; 37     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_LT24_SOPC_inst|mm_interconnect_0|avalon_st_adapter_010|error_adapter_0                                                        ; 38    ; 1              ; 2            ; 1              ; 37     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_LT24_SOPC_inst|mm_interconnect_0|avalon_st_adapter_010                                                                        ; 38    ; 0              ; 0            ; 0              ; 37     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_LT24_SOPC_inst|mm_interconnect_0|avalon_st_adapter_009|error_adapter_0                                                        ; 38    ; 1              ; 2            ; 1              ; 37     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_LT24_SOPC_inst|mm_interconnect_0|avalon_st_adapter_009                                                                        ; 38    ; 0              ; 0            ; 0              ; 37     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_LT24_SOPC_inst|mm_interconnect_0|avalon_st_adapter_008|error_adapter_0                                                        ; 38    ; 1              ; 2            ; 1              ; 37     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_LT24_SOPC_inst|mm_interconnect_0|avalon_st_adapter_008                                                                        ; 38    ; 0              ; 0            ; 0              ; 37     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_LT24_SOPC_inst|mm_interconnect_0|avalon_st_adapter_007|error_adapter_0                                                        ; 38    ; 1              ; 2            ; 1              ; 37     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_LT24_SOPC_inst|mm_interconnect_0|avalon_st_adapter_007                                                                        ; 38    ; 0              ; 0            ; 0              ; 37     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_LT24_SOPC_inst|mm_interconnect_0|avalon_st_adapter_006|error_adapter_0                                                        ; 38    ; 1              ; 2            ; 1              ; 37     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_LT24_SOPC_inst|mm_interconnect_0|avalon_st_adapter_006                                                                        ; 38    ; 0              ; 0            ; 0              ; 37     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_LT24_SOPC_inst|mm_interconnect_0|avalon_st_adapter_005|error_adapter_0                                                        ; 38    ; 1              ; 2            ; 1              ; 37     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_LT24_SOPC_inst|mm_interconnect_0|avalon_st_adapter_005                                                                        ; 38    ; 0              ; 0            ; 0              ; 37     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_LT24_SOPC_inst|mm_interconnect_0|avalon_st_adapter_004|error_adapter_0                                                        ; 38    ; 1              ; 2            ; 1              ; 37     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_LT24_SOPC_inst|mm_interconnect_0|avalon_st_adapter_004                                                                        ; 38    ; 0              ; 0            ; 0              ; 37     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_LT24_SOPC_inst|mm_interconnect_0|avalon_st_adapter_003|error_adapter_0                                                        ; 38    ; 1              ; 2            ; 1              ; 37     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_LT24_SOPC_inst|mm_interconnect_0|avalon_st_adapter_003                                                                        ; 38    ; 0              ; 0            ; 0              ; 37     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_LT24_SOPC_inst|mm_interconnect_0|avalon_st_adapter_002|error_adapter_0                                                        ; 38    ; 1              ; 2            ; 1              ; 37     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_LT24_SOPC_inst|mm_interconnect_0|avalon_st_adapter_002                                                                        ; 38    ; 0              ; 0            ; 0              ; 37     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_LT24_SOPC_inst|mm_interconnect_0|avalon_st_adapter_001|error_adapter_0                                                        ; 38    ; 1              ; 2            ; 1              ; 37     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_LT24_SOPC_inst|mm_interconnect_0|avalon_st_adapter_001                                                                        ; 38    ; 0              ; 0            ; 0              ; 37     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_LT24_SOPC_inst|mm_interconnect_0|avalon_st_adapter|error_adapter_0                                                            ; 38    ; 1              ; 2            ; 1              ; 37     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_LT24_SOPC_inst|mm_interconnect_0|avalon_st_adapter                                                                            ; 38    ; 0              ; 0            ; 0              ; 37     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_LT24_SOPC_inst|mm_interconnect_0|crosser_033|clock_xer|out_to_in_synchronizer                                                 ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_LT24_SOPC_inst|mm_interconnect_0|crosser_033|clock_xer|in_to_out_synchronizer                                                 ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_LT24_SOPC_inst|mm_interconnect_0|crosser_033|clock_xer                                                                        ; 139   ; 0              ; 0            ; 0              ; 135    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_LT24_SOPC_inst|mm_interconnect_0|crosser_033                                                                                  ; 141   ; 2              ; 0            ; 2              ; 135    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_LT24_SOPC_inst|mm_interconnect_0|crosser_032|clock_xer|out_to_in_synchronizer                                                 ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_LT24_SOPC_inst|mm_interconnect_0|crosser_032|clock_xer|in_to_out_synchronizer                                                 ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_LT24_SOPC_inst|mm_interconnect_0|crosser_032|clock_xer                                                                        ; 139   ; 0              ; 0            ; 0              ; 135    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_LT24_SOPC_inst|mm_interconnect_0|crosser_032                                                                                  ; 141   ; 2              ; 0            ; 2              ; 135    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_LT24_SOPC_inst|mm_interconnect_0|crosser_031|clock_xer|out_to_in_synchronizer                                                 ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_LT24_SOPC_inst|mm_interconnect_0|crosser_031|clock_xer|in_to_out_synchronizer                                                 ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_LT24_SOPC_inst|mm_interconnect_0|crosser_031|clock_xer                                                                        ; 139   ; 0              ; 0            ; 0              ; 135    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_LT24_SOPC_inst|mm_interconnect_0|crosser_031                                                                                  ; 141   ; 2              ; 0            ; 2              ; 135    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_LT24_SOPC_inst|mm_interconnect_0|crosser_030|clock_xer|out_to_in_synchronizer                                                 ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_LT24_SOPC_inst|mm_interconnect_0|crosser_030|clock_xer|in_to_out_synchronizer                                                 ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_LT24_SOPC_inst|mm_interconnect_0|crosser_030|clock_xer                                                                        ; 139   ; 0              ; 0            ; 0              ; 135    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_LT24_SOPC_inst|mm_interconnect_0|crosser_030                                                                                  ; 141   ; 2              ; 0            ; 2              ; 135    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_LT24_SOPC_inst|mm_interconnect_0|crosser_029|clock_xer|out_to_in_synchronizer                                                 ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_LT24_SOPC_inst|mm_interconnect_0|crosser_029|clock_xer|in_to_out_synchronizer                                                 ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_LT24_SOPC_inst|mm_interconnect_0|crosser_029|clock_xer                                                                        ; 139   ; 0              ; 0            ; 0              ; 135    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_LT24_SOPC_inst|mm_interconnect_0|crosser_029                                                                                  ; 141   ; 2              ; 0            ; 2              ; 135    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_LT24_SOPC_inst|mm_interconnect_0|crosser_028|clock_xer|out_to_in_synchronizer                                                 ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_LT24_SOPC_inst|mm_interconnect_0|crosser_028|clock_xer|in_to_out_synchronizer                                                 ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_LT24_SOPC_inst|mm_interconnect_0|crosser_028|clock_xer                                                                        ; 139   ; 0              ; 0            ; 0              ; 135    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_LT24_SOPC_inst|mm_interconnect_0|crosser_028                                                                                  ; 141   ; 2              ; 0            ; 2              ; 135    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_LT24_SOPC_inst|mm_interconnect_0|crosser_027|clock_xer|out_to_in_synchronizer                                                 ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_LT24_SOPC_inst|mm_interconnect_0|crosser_027|clock_xer|in_to_out_synchronizer                                                 ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_LT24_SOPC_inst|mm_interconnect_0|crosser_027|clock_xer                                                                        ; 139   ; 0              ; 0            ; 0              ; 135    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_LT24_SOPC_inst|mm_interconnect_0|crosser_027                                                                                  ; 141   ; 2              ; 0            ; 2              ; 135    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_LT24_SOPC_inst|mm_interconnect_0|crosser_026|clock_xer|out_to_in_synchronizer                                                 ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_LT24_SOPC_inst|mm_interconnect_0|crosser_026|clock_xer|in_to_out_synchronizer                                                 ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_LT24_SOPC_inst|mm_interconnect_0|crosser_026|clock_xer                                                                        ; 139   ; 0              ; 0            ; 0              ; 135    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_LT24_SOPC_inst|mm_interconnect_0|crosser_026                                                                                  ; 141   ; 2              ; 0            ; 2              ; 135    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_LT24_SOPC_inst|mm_interconnect_0|crosser_025|clock_xer|out_to_in_synchronizer                                                 ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_LT24_SOPC_inst|mm_interconnect_0|crosser_025|clock_xer|in_to_out_synchronizer                                                 ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_LT24_SOPC_inst|mm_interconnect_0|crosser_025|clock_xer                                                                        ; 139   ; 0              ; 0            ; 0              ; 135    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_LT24_SOPC_inst|mm_interconnect_0|crosser_025                                                                                  ; 141   ; 2              ; 0            ; 2              ; 135    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_LT24_SOPC_inst|mm_interconnect_0|crosser_024|clock_xer|out_to_in_synchronizer                                                 ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_LT24_SOPC_inst|mm_interconnect_0|crosser_024|clock_xer|in_to_out_synchronizer                                                 ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; DE0_LT24_SOPC_inst|mm_interconnect_0|crosser_024|clock_xer                                                                        ; 139   ; 0              ; 0            ; 0              ; 135    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
